event_id, areaperil_id, intensity_bin_id, probability
1, 3, 1, 1.0000000000e+00
1, 4, 2, 1.0000000000e+00
1, 5, 2, 1.0000000000e+00
1, 6, 3, 1.0000000000e+00
1, 7, 3, 1.0000000000e+00
1, 8, 4, 1.0000000000e+00
1, 9, 5, 1.0000000000e+00
1, 10, 5, 1.0000000000e+00
1, 13, 1, 1.0000000000e+00
1, 14, 2, 1.0000000000e+00
1, 15, 2, 1.0000000000e+00
1, 16, 3, 1.0000000000e+00
1, 17, 3, 1.0000000000e+00
1, 18, 4, 1.0000000000e+00
1, 19, 5, 1.0000000000e+00
1, 20, 5, 1.0000000000e+00
1, 23, 1, 1.0000000000e+00
1, 24, 2, 1.0000000000e+00
1, 25, 2, 1.0000000000e+00
1, 26, 3, 1.0000000000e+00
1, 27, 3, 1.0000000000e+00
1, 28, 4, 1.0000000000e+00
1, 29, 4, 1.0000000000e+00
1, 30, 5, 1.0000000000e+00
1, 33, 1, 1.0000000000e+00
1, 34, 2, 1.0000000000e+00
1, 35, 2, 1.0000000000e+00
1, 36, 3, 1.0000000000e+00
1, 37, 3, 1.0000000000e+00
1, 38, 4, 1.0000000000e+00
1, 39, 5, 1.0000000000e+00
1, 40, 5, 1.0000000000e+00
1, 43, 1, 1.0000000000e+00
1, 44, 2, 1.0000000000e+00
1, 45, 2, 1.0000000000e+00
1, 46, 3, 1.0000000000e+00
1, 47, 3, 1.0000000000e+00
1, 48, 4, 1.0000000000e+00
1, 49, 5, 1.0000000000e+00
1, 50, 5, 1.0000000000e+00
1, 53, 1, 1.0000000000e+00
1, 54, 2, 1.0000000000e+00
1, 55, 2, 1.0000000000e+00
1, 56, 3, 1.0000000000e+00
1, 57, 3, 1.0000000000e+00
1, 58, 4, 1.0000000000e+00
1, 59, 5, 1.0000000000e+00
1, 60, 5, 1.0000000000e+00
1, 63, 1, 1.0000000000e+00
1, 64, 2, 1.0000000000e+00
1, 65, 2, 1.0000000000e+00
1, 66, 3, 1.0000000000e+00
1, 67, 3, 1.0000000000e+00
1, 68, 4, 1.0000000000e+00
1, 69, 5, 1.0000000000e+00
1, 70, 5, 1.0000000000e+00
